make,model,seating_capacity,transmission_type,fuel_tank_capacity,body,rating,starting_price,ending_price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
Infiniti,G Sedan,5,automatic,63,G Sedan,4.3,18850,26276,375,3207,115,5865
Infiniti,G Sedan,5,automatic,47,G Sedan,4.2,21386,26656,157,3312,355,5983
Infiniti,G Sedan,5,automatic,75,G Sedan,4.1,20387,23938,355,3746,130,4897
Hyundai,Tucson,7,automatic,51,SUV,4.7,14305,19463,456,1259,196,5231
Hyundai,Sonata Hybrid,5,automatic,51,Sedan,4.8,16170,24997,312,3269,268,6729
Infiniti,G Sedan,5,automatic,70,G Sedan,3.7,18974,23239,401,1491,115,6345
Hyundai,Elantra,5,automatic,45,Sedan,4.4,10366,13740,266,1629,397,5719
Hyundai,Elantra,5,automatic,67,Sedan,4.8,11312,16027,198,3194,190,5482
Infiniti,G Sedan,5,automatic,61,G Sedan,3.6,20269,23942,308,2365,260,5565
Hyundai,Sonata Hybrid,5,automatic,48,Sedan,4.6,16556,23529,413,3808,287,4617
Infiniti,G Coupe,5,automatic,42,G Coupe,4.7,25163,33329,345,2769,222,6419
Infiniti,G Sedan,5,automatic,73,G Sedan,4.0,22436,30373,258,1581,318,5111
Infiniti,G Sedan,5,automatic,59,G Sedan,4.6,23236,27579,336,2366,356,4123
Infiniti,G Sedan,5,automatic,48,G Sedan,4.9,22379,26844,500,2122,201,6746
Infiniti,G Sedan,5,automatic,60,G Sedan,3.8,19613,29879,380,2278,260,6012
Hyundai,Elantra,5,automatic,54,Sedan,4.8,14707,17603,448,2801,208,4576
Infiniti,G Coupe,5,automatic,45,G Coupe,4.8,20982,29035,498,2772,341,5344
Infiniti,G Coupe,5,automatic,50,G Coupe,4.3,20749,30051,323,3326,216,5646
Infiniti,G Sedan,5,automatic,45,G Sedan,4.7,22704,29152,129,3766,240,4589
Hyundai,Genesis,5,automatic,49,Sedan,4.7,11125,16026,298,3697,103,5002
Infiniti,G Sedan,5,automatic,68,G Sedan,4.7,20183,30685,453,2172,104,4624
Hyundai,Sonata,5,automatic,72,Sedan,4.4,11602,14906,382,1484,180,4732
Infiniti,G Sedan,5,automatic,45,G Sedan,3.5,21205,33033,441,1237,92,6474
Hyundai,Sonata,5,automatic,50,Sedan,5.0,10076,14911,428,1503,253,5576
Infiniti,G Sedan,5,automatic,50,G Sedan,4.7,24268,30484,252,3841,333,6181
Hyundai,Sonata,5,automatic,66,Sedan,4.6,9279,10859,293,3438,363,4003
Hyundai,Santa Fe,7,automatic,40,SUV,3.9,17916,24439,253,2225,102,4093
Hyundai,Accent,5,automatic,45,Sedan,3.8,6154,7569,427,1628,139,4679
Infiniti,G Sedan,5,automatic,43,G Sedan,4.7,22692,26488,254,1443,140,4342
Hyundai,Sonata,5,automatic,71,Sedan,4.6,11621,14369,430,2567,299,5884
Infiniti,G Sedan,5,automatic,74,G Sedan,4.6,22237,29087,204,1459,151,5561
Hyundai,Elantra,5,automatic,40,Sedan,3.9,9162,14179,309,2543,391,5423
Infiniti,G Coupe,5,automatic,53,G Coupe,3.6,25081,31733,422,2851,354,6712
Infiniti,G Sedan,5,automatic,73,G Sedan,3.8,19347,25618,227,2688,313,5284
Infiniti,G Sedan,5,automatic,46,G Sedan,4.1,20801,27243,196,1914,139,5471
Infiniti,G Coupe,5,automatic,65,G Coupe,4.2,20363,26603,278,3539,233,4775
Infiniti,G Sedan,5,automatic,57,G Sedan,4.6,20685,27331,313,2982,127,5002
Hyundai,Elantra,5,automatic,73,Sedan,3.8,4718,5862,276,3539,391,6949
Infiniti,G Sedan,5,automatic,71,G Sedan,4.3,21648,29289,124,1819,90,5584
Hyundai,Sonata,5,automatic,53,Sedan,4.5,14418,19556,434,1893,175,4368
Hyundai,Elantra,5,automatic,41,Sedan,4.2,6753,8466,120,3471,244,5274
Hyundai,Sonata,5,automatic,40,Sedan,4.3,11343,15610,467,3416,96,5998
Jeep,Wrangler,7,manual,46,SUV,3.7,31585,39380,303,2179,254,4594
Kia,Optima,5,automatic,77,Sedan,4.5,15790,18308,297,2038,249,5006
Nissan,Altima,5,automatic,67,Sedan,3.6,11786,16122,357,2086,239,4821
Mercedes-Benz,S-Class,5,automatic,66,Sedan,4.9,42509,55168,231,2214,248,4637
Nissan,Altima,5,automatic,48,Sedan,4.5,10936,14252,456,2750,258,5225
Lexus,GS 350,5,automatic,67,Sedan,3.8,27819,40748,249,2435,261,6304
Mitsubishi,Outlander,7,automatic,63,SUV,3.8,12560,17255,127,1607,374,5131
Kia,Optima,5,automatic,68,Sedan,3.7,13495,19776,438,3282,304,6796
Mercedes-Benz,C-Class,5,automatic,61,Coupe,4.8,21686,31072,440,1825,191,4163
Kia,Optima,5,automatic,49,Sedan,4.6,18227,24250,426,2385,391,4014
Nissan,Altima,5,automatic,65,Sedan,4.9,9758,15579,157,1278,143,5644
Nissan,Altima,5,automatic,46,Sedan,3.6,10967,16090,124,2714,184,6720
Infiniti,G Sedan,5,automatic,55,G Sedan,3.6,19690,27966,163,2874,312,4319
Nissan,Altima,5,automatic,66,Sedan,3.6,11910,14875,130,2742,121,6882
Jeep,Wrangler,7,automatic,56,SUV,3.9,22126,32289,460,1385,265,4475
Mazda,Mazda2,5,automatic,47,Hatchback,3.7,8509,11596,289,3656,314,6695
Nissan,Altima,5,automatic,58,Sedan,4.2,11970,15987,150,2319,294,5317
Kia,Rio,5,automatic,40,Sedan,4.8,7816,10901,467,3866,371,4675
Mercedes-Benz,C-Class,5,automatic,54,Sedan,4.1,20141,27556,270,3775,200,5316
Kia,Optima,5,automatic,76,Sedan,4.1,10632,12989,379,1512,195,5720
Nissan,Altima,5,automatic,76,Sedan,4.6,9813,12989,409,2827,190,4182
Mazda,Mazda2,5,automatic,72,Hatchback,4.7,7500,9722,295,3128,268,4290
Infiniti,M,5,automatic,43,Sedan,4.7,29557,37868,411,1530,334,5188
Kia,Optima,5,automatic,63,Sedan,3.6,13280,17996,399,1971,173,6481
Nissan,370Z,5,automatic,68,Convertible,3.5,25413,36983,151,2111,355,5366
Kia,Soul,5,automatic,77,Wagon,3.8,9390,11836,425,1699,377,5136
Kia,Sorento,7,automatic,63,SUV,4.8,10773,16047,367,1791,129,6667
Kia,Rio,5,automatic,78,Sedan,3.5,8848,10911,204,1488,313,6089
Kia,Soul,5,manual,58,Wagon,3.9,6191,8219,222,1646,127,6495
Mitsubishi,Outlander Sport,7,automatic,79,SUV,4.3,13245,16518,348,2796,273,6739
Mercedes-Benz,C-Class,5,automatic,80,Sedan,3.9,17953,24399,226,3468,269,4192
Mercedes-Benz,SLK-Class,5,automatic,44,Convertible,4.1,30371,44712,268,1456,194,6431
Lexus,ES 350,5,automatic,45,Sedan,4.6,25948,29749,277,3531,297,6895
Mercedes-Benz,E-Class,5,automatic,70,Sedan,4.3,27803,36748,323,2510,263,5435
Mazda,Mazda3,5,automatic,43,Sedan,3.6,8796,12305,299,1930,267,4549
MINI,Cooper Clubman,5,automatic,60,Hatchback,4.8,11756,15684,453,1560,229,5540
MINI,Cooper,5,automatic,55,Hatchback,4.5,13953,16002,487,1262,132,4161
Mercedes-Benz,S-Class,5,Manual,80,Sedan,4.8,44301,69406,297,2234,358,4276
Mazda,CX-9,7,automatic,55,SUV,4.4,16680,26165,403,3910,383,4763
Infiniti,G Sedan,5,automatic,51,G Sedan,4.8,18471,23820,365,2136,375,6062
Nissan,Altima,5,automatic,56,Coupe,4.1,7436,9256,154,2896,383,5280
Kia,Forte,5,automatic,63,Sedan,4.7,7375,11807,235,1684,325,4300
Mazda,CX-9,7,automatic,68,SUV,4.4,16896,23255,395,1454,321,5675
Kia,Sorento,7,automatic,64,SUV,4.2,17230,25517,253,1486,114,6583
Nissan,Altima,5,automatic,67,Sedan,3.7,11863,17370,264,1302,308,6524
Nissan,Altima,5,automatic,72,Sedan,3.9,12089,16467,326,2556,361,4024
Nissan,Altima,5,automatic,67,Sedan,5.0,12574,15575,227,1781,154,4774
Jeep,Compass,7,automatic,75,SUV,5.0,12967,16891,199,1413,356,6367
Nissan,370Z,5,automatic,55,Coupe,4.8,18287,23581,449,2624,195,4412
Nissan,Altima,5,automatic,56,Coupe,3.6,14171,17629,231,3655,252,5773
Mazda,Mazda3,5,automatic,59,Sedan,4.0,8662,11696,319,2063,364,4402
Infiniti,JX,7,automatic,55,SUV,4.3,27441,40679,191,1593,232,6314
Infiniti,G Sedan,5,automatic,75,G Sedan,4.4,23538,29194,207,2753,316,5565
Lexus,RX 350,7,automatic,50,SUV,3.8,25213,36383,496,2047,194,5504
Infiniti,G Sedan,5,automatic,71,G Sedan,4.8,19734,25901,221,2951,279,6589
Kia,Optima,5,automatic,72,Sedan,4.3,18627,24199,177,2062,336,6641
Nissan,Altima,5,automatic,43,Sedan,4.8,11913,15936,278,2339,170,5492
Kia,Rio,5,manual,71,Hatchback,3.6,12920,17583,405,1674,301,6747
Nissan,Altima,5,automatic,67,Sedan,3.7,10886,14564,490,2295,290,4172
Lexus,RX 450h,7,automatic,59,SUV,3.6,25544,35232,308,1204,184,6991
Nissan,Altima,5,automatic,52,Sedan,4.2,11763,15433,284,3325,201,6652
Kia,Soul,5,manual,61,Wagon,4.3,5893,8089,474,1670,209,5139
Land Rover,LR4,7,automatic,50,SUV,4.4,33634,45625,342,2342,342,4993
Kia,Optima,5,automatic,60,Sedan,4.6,8636,11761,384,2497,228,5216
Mazda,Mazda5,5,automatic,53,Minivan,3.7,10973,14538,407,3373,106,6733
Kia,Rio,5,automatic,49,Hatchback,4.2,5131,7982,375,2645,206,6198
Nissan,Altima,5,automatic,72,Sedan,3.7,12816,16649,224,2305,311,5827
Infiniti,G Sedan,5,automatic,64,G Sedan,5.0,19481,26212,241,1559,106,5007
Mazda,Mazda3,5,automatic,49,Sedan,3.8,9094,12364,361,1895,344,4075
Infiniti,G Coupe,5,automatic,73,G Coupe,4.0,22181,33704,196,3538,112,5307
Infiniti,M,5,automatic,72,Sedan,4.0,29720,40160,440,3692,395,4407
Kia,Forte,5,automatic,48,Sedan,4.4,7208,10860,143,3681,240,4347
Mazda,CX-9,7,automatic,67,SUV,4.4,16194,22884,279,3692,116,5348
Nissan,Altima,5,automatic,47,Coupe,3.9,10878,14289,310,1976,288,5063
Kia,Optima,5,automatic,66,Sedan,4.6,13241,17702,271,2582,374,4527
MINI,Cooper,5,automatic,69,Hatchback,4.0,12783,15228,469,1782,127,4937
Mazda,Mazda5,5,automatic,69,Minivan,3.5,11455,15400,291,2454,297,6721
Lexus,GS 350,5,automatic,76,Sedan,4.4,30232,35493,393,2217,135,6756
Kia,Rio,5,automatic,64,Sedan,4.7,3519,4297,272,3251,321,5227
Land Rover,Range Rover Evoque,7,automatic,60,SUV,4.4,29387,39782,253,2375,280,4343
MINI,Cooper,5,automatic,45,Hatchback,4.1,2131,3115,386,2437,274,4634
Nissan,Altima,5,automatic,43,Sedan,4.0,11818,15159,164,1339,94,4512
Infiniti,G Sedan,5,automatic,64,G Sedan,4.8,18028,28502,338,1806,304,4858
Kia,Rio,5,manual,63,Sedan,3.9,5205,6045,491,2874,228,5842
Kia,Rio,5,automatic,68,Sedan,3.7,7111,9542,364,3801,400,4022
Jeep,Compass,7,automatic,67,SUV,3.7,11839,13864,432,3835,161,4956
Mitsubishi,Outlander,7,automatic,67,SUV,4.6,11767,15677,390,1265,400,4533
Infiniti,G Sedan,5,manual,40,G Sedan,4.3,23123,30021,306,1633,226,5340
Mercedes-Benz,C-Class,5,automatic,51,Coupe,3.7,24234,29369,261,3644,103,6468
Infiniti,G Coupe,5,automatic,76,G Coupe,4.4,19958,27347,286,3389,278,5394
Lexus,LS 460,5,automatic,41,Sedan,4.1,57979,70375,341,1919,95,6848
Mercedes-Benz,S-Class,5,automatic,43,Sedan,4.9,43530,57107,461,1855,203,6015
Kia,Optima,5,automatic,54,Sedan,3.8,14369,16981,191,2859,356,6774
Mitsubishi,Outlander,7,automatic,63,SUV,4.5,12230,18205,452,3189,272,4731
Mercedes-Benz,GLK-Class,7,automatic,65,SUV,3.6,22532,26950,142,2225,355,6049
Nissan,Altima,5,automatic,51,Sedan,4.3,10858,13770,220,3995,288,6847
Jeep,Wrangler,7,automatic,42,SUV,4.3,22287,29273,495,2200,136,6059
Kia,Sportage,7,automatic,76,SUV,4.1,14104,17485,129,3828,309,6124
Nissan,Altima,5,automatic,51,Sedan,3.6,10613,13330,191,2042,201,6047
Kia,Optima,5,automatic,43,Sedan,4.6,12891,16100,421,2083,345,6159
Jeep,Grand Cherokee,7,automatic,74,SUV,4.2,21500,28792,490,3146,215,4949
Mercedes-Benz,C-Class,5,automatic,52,Coupe,3.5,18320,24211,438,1332,201,5675
Kia,Optima,5,automatic,49,Sedan,3.6,15430,19852,305,2454,147,4267
Kia,Forte,5,automatic,64,Sedan,4.4,2370,3313,478,3047,289,5263
Kia,Optima,5,automatic,79,Sedan,3.9,15550,18177,476,1273,152,4186
Kia,Optima,5,automatic,71,Sedan,4.7,12454,14635,273,1899,164,6842
Kia,Optima,5,Automatic,51,Sedan,4.3,12444,18152,288,1922,348,4985
Infiniti,G Sedan,5,automatic,46,G Sedan,3.9,16884,24424,480,2199,384,5384
Infiniti,G Sedan,5,automatic,80,G Sedan,4.0,20878,27737,331,3753,359,4923
Mercedes-Benz,E-Class,5,automatic,75,Sedan,4.2,31965,40859,192,3194,242,5286
Mercedes-Benz,S-Class,5,automatic,57,Sedan,4.0,52854,63921,159,2168,155,6815
Lincoln,MKX,7,automatic,69,SUV,4.4,20629,29586,124,1784,311,5528
Land Rover,Range Rover Evoque,7,automatic,45,SUV,4.4,25679,36342,317,1331,265,6880
Mazda,Mazda5,5,automatic,61,Minivan,3.9,13127,18071,448,1564,173,5139
lincoln,mkt,5,automatic,60,nan,4.0,14415,19237,209,2311,123,5124
Infiniti,G Sedan,5,manual,79,G Sedan,3.8,26154,35583,218,1379,276,5700
Lexus,GS 350,5,automatic,40,Sedan,3.8,29540,39254,399,3128,164,4928
Jaguar,XF,5,automatic,42,Sedan,3.6,23820,31490,407,1870,202,6064
Mercedes-Benz,C-Class,5,automatic,45,Sedan,4.7,20750,26522,317,2444,224,6192
Kia,Soul,5,automatic,73,Wagon,4.2,5671,6871,350,1873,156,5966
Kia,Optima,5,automatic,75,Sedan,4.7,11482,17336,240,3067,206,5621
Nissan,Altima,5,automatic,64,Sedan,4.2,11121,16589,487,3553,240,5277
Nissan,Altima,5,automatic,42,Sedan,4.9,12386,14806,238,3377,133,6618
Mercedes-Benz,C-Class,5,automatic,75,Coupe,4.9,20266,27335,265,3200,293,5767
Kia,Optima,5,automatic,72,Sedan,3.7,14034,18777,261,3407,336,4497
Mercedes-Benz,GL-Class,7,automatic,49,SUV,4.8,38537,58896,249,3707,106,4220
Mazda,Mazda5,5,automatic,62,Minivan,4.8,10510,16062,450,1482,178,4531
Kia,Sportage,7,automatic,64,SUV,3.9,14360,18037,337,2895,286,6155
Mercedes-Benz,GL-Class,7,automatic,73,SUV,4.5,38323,59672,253,1252,214,6421
Jaguar,XF,5,automatic,62,Sedan,3.5,23543,33258,135,3865,283,4668
Kia,Rio,5,automatic,52,Hatchback,4.7,10453,14270,303,2546,92,6349
Mercedes-Benz,M-Class,7,automatic,47,SUV,3.6,39841,54294,358,2342,105,6973
MINI,Cooper Countryman,5,automatic,54,Wagon,5.0,14887,19704,299,3517,118,6048
Infiniti,G Sedan,5,automatic,46,G Sedan,3.7,19221,26511,176,2391,280,6857
Kia,Sorento,7,automatic,71,SUV,4.5,12107,17013,216,3367,254,5177
Mercedes-Benz,S-Class,5,automatic,45,Sedan,3.6,47186,66305,425,3340,169,4313
Nissan,Altima,5,automatic,75,Coupe,4.3,12491,16724,312,2446,348,4745
Kia,Sorento,7,automatic,58,SUV,4.9,11633,14592,205,3138,120,6212
Nissan,Altima,5,automatic,74,Coupe,4.3,11274,14588,267,1388,278,5869
Mercedes-Benz,M-Class,7,Automatic,80,SUV,3.6,30804,38523,328,2767,389,6748
Land Rover,Range Rover Evoque,7,automatic,44,SUV,4.9,34330,50174,171,3949,233,6697
Kia,Forte,5,automatic,59,Sedan,4.5,7786,9968,412,3896,208,4580
Kia,Optima,5,automatic,75,Sedan,3.6,11499,15316,408,2959,142,6381
Mercedes-Benz,S-Class,5,automatic,49,Sedan,3.8,44970,54197,185,3116,397,6775
Nissan,Altima,5,automatic,44,Sedan,4.7,11059,17287,124,3749,354,4506
Jeep,Wrangler,7,automatic,75,SUV,3.6,21209,28419,421,1767,285,5353
Land Rover,Range Rover Evoque,7,automatic,79,SUV,5.0,25746,35277,350,3047,385,4029
Mazda,CX-9,7,automatic,56,SUV,3.8,17294,22393,447,3610,154,5612
Mazda,Mazda2,5,automatic,78,Hatchback,3.6,2440,2994,499,1736,275,6961
Mercedes-Benz,S-Class,5,automatic,41,Sedan,4.9,37638,57361,457,3200,255,4072
Nissan,Altima,5,automatic,40,Sedan,4.0,12133,14791,293,2785,285,6310
Infiniti,G Sedan,5,automatic,59,G Sedan,5.0,16250,22155,137,3076,154,6786
Infiniti,G Sedan,5,automatic,78,G Sedan,4.0,18776,25737,347,1225,145,6788
Infiniti,M,5,automatic,51,Sedan,3.5,28611,39485,152,3231,320,6835
Mercedes-Benz,C-Class,5,automatic,74,Coupe,3.5,21232,26717,154,2307,182,6354
Mazda,Mazda3,5,automatic,78,Sedan,3.6,10305,14863,258,1426,103,4721
Infiniti,G Sedan,5,automatic,71,G Sedan,4.5,14308,19195,370,2413,361,6857
Kia,Optima,5,automatic,55,Sedan,3.9,17997,24614,458,3813,219,6284
Mercedes-Benz,C-Class,5,automatic,77,Coupe,4.4,20437,27181,307,2718,228,6722
Lexus,RX 350,7,automatic,72,SUV,4.3,30530,44953,155,1504,231,5856
Nissan,Altima,5,automatic,79,Sedan,4.0,10095,13050,173,1336,370,4236
Mercedes-Benz,C-Class,5,automatic,62,Sedan,3.7,17539,27352,335,2297,127,6865
Mazda,Mazda5,5,automatic,67,Minivan,4.2,10705,15465,339,2299,288,6873
Mitsubishi,Lancer,5,automatic,69,Sedan,3.7,17180,22409,293,2996,338,5162
Infiniti,G Coupe,5,manual,68,G Coupe,4.0,24138,33612,198,1896,256,5426
MINI,Cooper Clubman,5,automatic,77,Hatchback,4.7,12025,14956,193,2764,93,6086
Mercedes-Benz,S-Class,5,automatic,76,Sedan,4.2,54303,73372,291,3239,173,6280
Mazda,Mazda5,5,automatic,71,Minivan,4.2,13061,17564,143,1487,389,6652
Mercedes-Benz,C-Class,5,automatic,71,Sedan,4.1,18490,26356,158,2540,191,6975
Kia,Optima,5,automatic,68,Sedan,4.2,19388,28398,219,3308,276,6898
Nissan,Altima,5,automatic,41,Sedan,3.7,12253,14354,225,2435,133,6426
Infiniti,M,5,automatic,69,Sedan,4.6,26420,33207,250,1684,288,4139
Nissan,Altima,5,automatic,57,Sedan,4.7,11889,15128,297,1320,358,6224
Mercedes-Benz,C-Class,5,automatic,47,Coupe,3.8,29643,39567,283,2659,119,5159
Kia,Forte,5,automatic,42,Sedan,4.1,8931,12413,420,3531,162,5912
Kia,Rio,5,automatic,66,Sedan,3.8,8491,10386,392,1833,253,5893
Infiniti,G Sedan,5,automatic,70,G Sedan,4.5,17364,21545,218,3396,125,5568
Kia,Optima,5,automatic,54,Sedan,4.4,14273,19148,341,2966,364,5919
Land Rover,Range Rover Sport,7,automatic,71,SUV,4.2,48644,66882,377,2981,342,5099
Lexus,ES 350,5,automatic,60,Sedan,4.7,27004,31583,152,3202,363,4645
Mercedes-Benz,E-Class,5,automatic,71,Sedan,4.5,28591,33132,299,2429,180,6695
Mercedes-Benz,E-Class,5,automatic,64,Coupe,3.6,27216,40028,281,3777,390,6531
Lexus,GS 350,5,automatic,46,Sedan,3.8,26781,34172,354,2294,179,6182
Infiniti,M,5,automatic,60,Sedan,3.6,26942,40667,417,1955,129,5847
Kia,Optima,5,automatic,58,Sedan,3.7,18688,21071,475,3062,363,4174
Mitsubishi,Outlander,7,automatic,54,SUV,4.1,12144,17524,357,1499,92,4956
Mitsubishi,Lancer,5,automatic,59,Sedan,3.7,9381,10820,322,3571,180,6447
Infiniti,G Sedan,5,automatic,55,G Sedan,4.9,16820,23049,260,2881,130,5882
Mercedes-Benz,E-Class,5,automatic,42,Sedan,4.6,30113,41072,227,1628,200,5434
Infiniti,G Sedan,5,automatic,56,G Sedan,4.2,18036,23548,203,2269,285,6906
Lexus,GS 350,5,automatic,48,Sedan,4.9,32616,39400,140,3550,120,4444
Mercedes-Benz,C-Class,5,automatic,67,Sedan,4.9,37414,46785,357,2460,299,6038
MINI,Cooper,5,automatic,54,Hatchback,3.9,10160,13720,309,2024,163,6228
Volkswagen,Passat,5,automatic,50,Sedan,4.1,7564,8953,329,2557,231,4211
Nissan,Altima,5,automatic,70,Sedan,3.5,12014,17947,450,2678,390,4836
Toyota,Corolla,5,automatic,45,Sedan,4.7,7709,11436,377,3010,386,5593
Volvo,XC60,7,automatic,42,SUV,5.0,20162,29686,191,1817,280,4235
Toyota,Sienna,5,automatic,45,Minivan,3.9,16391,22256,150,1977,345,4517
Nissan,Juke,5,automatic,50,Hatchback,4.8,12782,16114,425,3692,240,4909
Toyota,Yaris,5,automatic,72,Hatchback,4.9,6863,8955,481,2111,226,6138
Nissan,Sentra,5,Manual,76,Sedan,3.8,8200,10423,227,3801,196,4751
Nissan,Rogue,7,automatic,73,SUV,4.3,2500,3161,277,2844,249,6563
Nissan,NV,5,automatic,63,Van,4.5,12766,17536,198,1721,105,6218
Toyota,Corolla,5,automatic,50,Sedan,4.5,12766,17646,127,2760,155,4017
Toyota,Corolla,5,automatic,52,Sedan,4.6,4146,5754,170,1309,393,5449
Volkswagen,CC,5,automatic,50,Sedan,4.5,14305,20567,178,2603,289,6505
Nissan,Leaf,5,automatic,42,Hatchback,5.0,14001,16220,156,3443,378,6433
Volvo,XC60,7,automatic,68,SUV,4.4,18658,26219,176,2408,309,5921
Toyota,Camry,5,automatic,52,Sedan,4.8,11034,17088,204,1788,246,6611
Toyota,Camry,5,automatic,65,Sedan,4.9,18147,26171,168,3334,323,5849
Toyota,Tacoma,5,automatic,64,Double Cab,4.1,18116,26500,200,2664,394,4776
Toyota,Corolla,5,automatic,54,Sedan,4.4,9763,13779,449,1357,158,6259
Volkswagen,Jetta,5,automatic,75,Sedan,3.9,10748,13332,374,3644,347,5073
Subaru,Impreza WRX,5,manual,45,Sedan,3.9,20835,27803,312,2710,90,5193
Nissan,Altima,5,automatic,50,Sedan,3.5,16820,21965,235,2381,275,5911
Toyota,FJ Cruiser,7,automatic,55,SUV,4.1,21539,26113,249,2332,205,4586
Nissan,Versa,5,Manual,52,Sedan,4.3,3786,5040,301,1471,333,6137
Subaru,Impreza WRX,5,manual,51,Sedan,3.9,17432,23881,397,1349,219,4748
Toyota,Corolla,5,automatic,55,Sedan,3.9,8885,11149,356,3731,123,4450
Volkswagen,Beetle,5,automatic,60,Hatchback,4.8,10048,13526,428,1518,265,5769
Nissan,Rogue,7,Automatic,54,SUV,3.6,11085,16302,484,2877,118,4579
Toyota,Avalon,5,automatic,69,Sedan,4.2,17011,24281,350,3713,324,6549
Scion,FR-S,5,automatic,60,Coupe,4.2,8831,13042,474,2445,374,5228
Nissan,NV200,5,automatic,48,Minivan,3.9,13209,18538,393,3344,182,4677
Nissan,Altima,5,automatic,66,Sedan,4.5,11793,18801,482,1369,262,4503
Toyota,RAV4,7,automatic,66,SUV,4.7,5946,7583,296,3066,355,4181
Volkswagen,Passat,5,automatic,54,Sedan,4.4,3998,5601,240,1628,310,5155
Nissan,Rogue,7,automatic,41,SUV,4.3,8896,14286,354,3533,105,5414
Nissan,Quest,5,Automatic,69,Minivan,3.6,23722,32396,198,2898,322,5940
Volkswagen,Beetle,5,automatic,56,Hatchback,4.6,9901,13468,380,2302,205,6205
Volkswagen,Jetta,5,automatic,80,Sedan,3.6,13730,19749,418,1368,100,6360
Toyota,Tundra,5,automatic,46,CrewMax Cab,4.3,16364,23431,266,1507,168,6735
Nissan,Altima,5,automatic,78,Sedan,3.5,13830,18697,204,2564,340,4077
Toyota,FJ Cruiser,7,automatic,57,SUV,4.3,25518,32509,218,2631,212,5898
Nissan,Rogue,7,Automatic,50,SUV,3.6,12742,19059,198,3687,382,4763
Scion,tC,5,manual,53,Hatchback,3.7,12302,18652,284,2804,153,5809
Nissan,Altima,5,automatic,54,Sedan,4.8,15379,19594,155,3221,164,5318
Nissan,Maxima,5,automatic,53,Sedan,4.1,19927,28944,282,2081,202,6211
Porsche,Cayenne,7,automatic,74,SUV,4.5,40697,54189,240,3163,391,4763
Nissan,Sentra,5,Manual,46,Sedan,4.3,9687,13771,123,3683,366,4724
Porsche,911,5,automatic,75,Convertible,4.7,80726,112004,169,3071,189,4977
Volkswagen,Passat,5,automatic,73,Sedan,4.8,12115,16783,266,3046,323,5556
Volkswagen,Jetta,5,automatic,52,Sedan,3.9,10086,14513,495,3547,370,6558
Nissan,Altima,5,automatic,68,Sedan,3.7,10623,14474,337,1268,291,5994
Nissan,Xterra,7,automatic,49,SUV,3.5,17187,22184,296,3010,328,6243
Nissan,Versa,5,automatic,72,Sedan,3.9,7716,10462,278,3810,186,6228
Nissan,Rogue,7,automatic,79,SUV,3.8,12448,14541,280,3846,363,5873
Nissan,Sentra,5,automatic,43,Sedan,3.5,11252,14394,246,2855,179,5377
Toyota,Tundra,5,automatic,51,CrewMax Cab,5.0,19021,21456,167,3670,123,6117
Volkswagen,Passat,5,automatic,68,Sedan,3.6,12819,15237,178,4000,196,5233
Nissan,Sentra,5,Automatic,61,Sedan,5.0,10282,14052,265,3476,247,5180
Nissan,Xterra,7,automatic,70,SUV,4.3,16974,23291,159,1620,179,5440
Toyota,Prius,5,automatic,44,Hatchback,4.9,12314,17909,349,3872,361,6673
Nissan,Versa,5,automatic,80,Sedan,4.8,8685,11143,286,1217,261,5509
Volvo,S80,5,automatic,63,Sedan,4.3,21419,27562,414,1758,269,4261
Nissan,Frontier,5,automatic,70,Crew Cab,4.6,20238,26697,267,1926,152,6890
Nissan,Sentra,5,automatic,77,Sedan,4.3,12982,18426,455,3282,241,4325
Nissan,Altima,5,automatic,52,Sedan,3.6,14630,21284,123,2311,112,6061
Porsche,Boxster,5,automatic,49,Convertible,4.8,44293,54810,376,2253,131,5784
Nissan,Sentra,5,automatic,80,Sedan,3.7,10574,13459,243,2231,233,5569
Volkswagen,Jetta,5,automatic,60,Sedan,4.4,9501,13388,339,2230,222,6279
Toyota,Camry Hybrid,5,automatic,42,Sedan,4.1,17670,26962,183,3350,276,5939
Nissan,Sentra,5,automatic,67,Sedan,4.2,10520,13129,231,2792,374,5611
Nissan,Frontier,5,Automatic,80,Crew Cab,3.7,17190,24038,405,3609,295,5062
Toyota,Corolla,5,automatic,41,Sedan,5.0,8536,11406,165,3624,332,5033
Scion,xB,5,automatic,68,Wagon,4.9,12482,16768,445,2485,348,6181
Toyota,FJ Cruiser,7,automatic,65,SUV,4.4,22932,30676,484,1276,138,6863
Nissan,Versa,5,Manual,44,Sedan,4.2,9843,13424,121,3160,112,6754
Nissan,Versa,5,Manual,53,Sedan,4.7,7203,10207,218,2772,205,5043
Nissan,Cube,5,automatic,58,Wagon,4.1,11108,14326,383,2405,340,6611
Toyota,Tacoma,5,automatic,57,Access Cab,3.8,14910,20714,388,3793,260,6031
Scion,FR-S,5,automatic,75,Coupe,4.2,16567,22836,383,3366,375,6163
Volkswagen,Jetta SportWagen,5,automatic,47,Wagon,3.6,10177,13718,134,3397,233,6912
Toyota,Corolla,5,automatic,57,Sedan,4.5,11044,14927,346,1766,332,4967
Nissan,Sentra,5,automatic,55,Sedan,4.5,11418,13600,134,2598,294,4468
